Date,Price
"Dec 09, 2005",59.39
"Dec 08, 2005",60.66
"Dec 07, 2005",59.21
"Dec 06, 2005",59.94
"Dec 05, 2005",59.91
"Dec 02, 2005",59.32
"Dec 01, 2005",58.47
"Nov 30, 2005",57.32
"Nov 29, 2005",56.5
"Nov 28, 2005",57.36
"Nov 23, 2005",58.71
"Nov 22, 2005",58.84
"Nov 21, 2005",57.7
"Nov 18, 2005",56.14
"Nov 17, 2005",56.34
"Nov 16, 2005",57.88
"Nov 15, 2005",56.98
"Nov 14, 2005",57.69
"Nov 11, 2005",57.53
"Nov 10, 2005",57.8
"Nov 09, 2005",58.93
"Nov 08, 2005",59.71
"Nov 07, 2005",59.47
"Nov 04, 2005",60.58
"Nov 03, 2005",61.78
"Nov 02, 2005",59.75
"Nov 01, 2005",59.85
"Oct 31, 2005",59.76
"Oct 28, 2005",61.22
"Oct 27, 2005",61.09
"Oct 26, 2005",60.66
"Oct 25, 2005",62.44
"Oct 24, 2005",60.32
"Oct 21, 2005",60.63
"Oct 20, 2005",61.03
"Oct 19, 2005",62.41
"Oct 18, 2005",63.2
"Oct 17, 2005",64.36
"Oct 14, 2005",62.63
"Oct 13, 2005",63.08
"Oct 12, 2005",64.12
"Oct 11, 2005",63.53
"Oct 10, 2005",61.8
"Oct 07, 2005",61.84
"Oct 06, 2005",61.36
"Oct 05, 2005",62.79
"Oct 04, 2005",63.9
"Oct 03, 2005",65.47
"Sep 30, 2005",66.24
"Sep 29, 2005",66.79
"Sep 28, 2005",66.35
"Sep 27, 2005",65.07
"Sep 26, 2005",65.82
"Sep 23, 2005",64.19
"Sep 22, 2005",66.5
"Sep 21, 2005",66.8
"Sep 20, 2005",66.23
"Sep 19, 2005",67.39
"Sep 16, 2005",63
"Sep 15, 2005",64.75
"Sep 14, 2005",65.09
"Sep 13, 2005",63.11
"Sep 12, 2005",63.34
"Sep 09, 2005",64.08
"Sep 08, 2005",64.49
"Sep 07, 2005",64.37
"Sep 06, 2005",65.96
"Sep 02, 2005",67.57
