,Date,Price
0,May 2023,72.37
1,Apr 2023,76.78
2,Mar 2023,75.67
3,Feb 2023,77.05
4,Jan 2023,80.11
5,Dec 2022,80.47
6,Nov 2022,80.56
7,Oct 2022,86.53
8,Sep 2022,79.49
9,Aug 2022,89.55
10,Jul 2022,98.62
11,Jun 2022,105.76
12,May 2022,114.67
13,Apr 2022,104.69
14,Mar 2022,100.28
15,Feb 2022,95.72
16,Jan 2022,88.15
17,Dec 2021,75.21
18,Nov 2021,66.18
19,Oct 2021,83.57
20,Sep 2021,75.03
21,Aug 2021,68.50
22,Jul 2021,73.95
23,Jun 2021,73.47
24,May 2021,66.32
25,Apr 2021,63.58
26,Mar 2021,59.16
27,Feb 2021,61.50
28,Jan 2021,52.20
29,Dec 2020,48.52
30,Nov 2020,45.34
31,Oct 2020,35.79
32,Sep 2020,40.22
33,Aug 2020,42.61
34,Jul 2020,40.27
35,Jun 2020,39.27
36,May 2020,35.49
37,Apr 2020,18.84
38,Mar 2020,20.48
39,Feb 2020,44.76
40,Jan 2020,51.56
41,Dec 2019,61.06
42,Nov 2019,55.17
43,Oct 2019,54.18
44,Sep 2019,54.07
45,Aug 2019,55.10
46,Jul 2019,58.58
47,Jun 2019,58.47
48,May 2019,53.50
49,Apr 2019,63.91
50,Mar 2019,60.14
51,Feb 2019,57.22
52,Jan 2019,53.79
53,Dec 2018,45.41
54,Nov 2018,50.93
55,Oct 2018,65.31
56,Sep 2018,73.25
57,Aug 2018,69.80
58,Jul 2018,68.76
59,Jun 2018,74.15
60,May 2018,67.04
61,Apr 2018,68.57
62,Mar 2018,64.94
63,Feb 2018,61.64
64,Jan 2018,64.73
65,Dec 2017,60.42
66,Nov 2017,57.40
67,Oct 2017,54.38
68,Sep 2017,51.67
69,Aug 2017,47.23
70,Jul 2017,50.17
71,Jun 2017,46.04
72,May 2017,48.32
73,Apr 2017,49.33
74,Mar 2017,50.60
75,Feb 2017,54.01
76,Jan 2017,52.81
77,Dec 2016,53.72
78,Nov 2016,49.44
79,Oct 2016,46.86
80,Sep 2016,48.24
81,Aug 2016,44.70
82,Jul 2016,41.60
83,Jun 2016,48.33
84,May 2016,49.10
85,Apr 2016,45.92
86,Mar 2016,38.34
87,Feb 2016,33.75
88,Jan 2016,33.62
89,Dec 2015,37.04
90,Nov 2015,41.65
91,Oct 2015,46.59
92,Sep 2015,45.09
93,Aug 2015,49.20
94,Jul 2015,47.12
95,Jun 2015,59.47
96,May 2015,60.30
97,Apr 2015,59.63
98,Mar 2015,47.60
99,Feb 2015,49.76
100,Jan 2015,48.24
101,Dec 2014,53.27
102,Nov 2014,66.15
103,Oct 2014,80.54
104,Sep 2014,91.16
105,Aug 2014,95.96
106,Jul 2014,98.17
107,Jun 2014,105.37
108,May 2014,102.71
109,Apr 2014,99.74
110,Mar 2014,101.58
111,Feb 2014,102.59
112,Jan 2014,97.49
113,Dec 2013,98.42
114,Nov 2013,92.72
115,Oct 2013,96.38
116,Sep 2013,102.33
117,Aug 2013,107.65
118,Jul 2013,105.03
119,Jun 2013,96.56
120,May 2013,91.97
121,Apr 2013,93.46
122,Mar 2013,97.23
123,Feb 2013,92.05
124,Jan 2013,97.49
125,Dec 2012,91.82
126,Nov 2012,88.91
127,Oct 2012,86.24
128,Sep 2012,92.19
129,Aug 2012,96.47
130,Jul 2012,88.06
131,Jun 2012,84.96
132,May 2012,86.53
133,Apr 2012,104.87
134,Mar 2012,103.02
135,Feb 2012,107.07
136,Jan 2012,98.48
137,Dec 2011,98.83
138,Nov 2011,100.36
139,Oct 2011,93.19
140,Sep 2011,79.20
141,Aug 2011,88.81
142,Jul 2011,95.70
143,Jun 2011,95.42
144,May 2011,102.70
145,Apr 2011,113.93
146,Mar 2011,106.72
147,Feb 2011,96.97
148,Jan 2011,92.19
149,Dec 2010,91.38
150,Nov 2010,84.11
151,Oct 2010,81.43
152,Sep 2010,79.97
153,Aug 2010,71.92
154,Jul 2010,78.95
155,Jun 2010,75.63
156,May 2010,73.97
157,Apr 2010,86.15
158,Mar 2010,83.76
159,Feb 2010,79.66
160,Jan 2010,72.89
161,Dec 2009,79.36
162,Nov 2009,77.28
163,Oct 2009,77.00
164,Sep 2009,70.61
165,Aug 2009,69.96
166,Jul 2009,69.45
167,Jun 2009,69.89
168,May 2009,66.31
169,Apr 2009,51.12
170,Mar 2009,49.66
171,Feb 2009,44.76
172,Jan 2009,41.68
173,Dec 2008,44.60
174,Nov 2008,54.43
175,Oct 2008,67.81
176,Sep 2008,100.64
177,Aug 2008,115.46
178,Jul 2008,124.08
179,Jun 2008,140.00
180,May 2008,127.35
181,Apr 2008,113.46
182,Mar 2008,101.58
183,Feb 2008,101.84
184,Jan 2008,91.75
185,Dec 2007,95.98
186,Nov 2007,88.71
187,Oct 2007,94.53
188,Sep 2007,81.66
189,Aug 2007,74.04
190,Jul 2007,78.21
191,Jun 2007,70.68
192,May 2007,64.01
193,Apr 2007,65.71
194,Mar 2007,65.87
195,Feb 2007,61.79
196,Jan 2007,58.14
197,Dec 2006,61.05
198,Nov 2006,63.13
199,Oct 2006,58.73
200,Sep 2006,62.91
201,Aug 2006,70.26
202,Jul 2006,74.40
203,Jun 2006,73.93
204,May 2006,71.29
205,Apr 2006,71.88
206,Mar 2006,66.63
207,Feb 2006,61.41
208,Jan 2006,67.92
209,Dec 2005,61.04
210,Nov 2005,57.32
211,Oct 2005,59.76
212,Sep 2005,66.24
213,Aug 2005,68.94
214,Jul 2005,60.57
215,Jun 2005,56.50
216,May 2005,51.97
217,Apr 2005,49.72
218,Mar 2005,55.40
219,Feb 2005,51.75
220,Jan 2005,48.20
221,Dec 2004,43.45
222,Nov 2004,49.13
223,Oct 2004,51.76
224,Sep 2004,49.64
225,Aug 2004,42.12
226,Jul 2004,43.80
227,Jun 2004,37.05
228,May 2004,39.88
229,Apr 2004,37.38
230,Mar 2004,35.76
231,Feb 2004,36.16
232,Jan 2004,33.05
233,Dec 2003,32.52
234,Nov 2003,30.41
235,Oct 2003,29.11
236,Sep 2003,29.20
237,Aug 2003,31.57
238,Jul 2003,30.54
239,Jun 2003,30.19
240,May 2003,29.56
241,Apr 2003,25.80
242,Mar 2003,31.04
243,Feb 2003,36.60
244,Jan 2003,33.51
245,Dec 2002,31.20
246,Nov 2002,26.89
247,Oct 2002,27.22
248,Sep 2002,30.45
249,Aug 2002,28.98
250,Jul 2002,27.02
251,Jun 2002,26.86
252,May 2002,25.31
253,Apr 2002,27.29
254,Mar 2002,26.31
255,Feb 2002,21.74
256,Jan 2002,19.48
257,Dec 2001,19.84
258,Nov 2001,19.44
259,Oct 2001,21.18
260,Sep 2001,23.43
261,Aug 2001,27.20
262,Jul 2001,26.35
263,Jun 2001,26.25
264,May 2001,28.37
265,Apr 2001,28.46
266,Mar 2001,26.29
267,Feb 2001,27.39
268,Jan 2001,28.66
269,Dec 2000,26.80
270,Nov 2000,33.82
271,Oct 2000,32.70
272,Sep 2000,30.84
273,Aug 2000,33.12
274,Jul 2000,27.43
275,Jun 2000,32.50
276,May 2000,29.01
277,Apr 2000,25.74
278,Mar 2000,26.90
279,Feb 2000,30.43
280,Jan 2000,27.64
281,Dec 1999,25.60
282,Nov 1999,24.59
283,Oct 1999,21.75
284,Sep 1999,24.51
285,Aug 1999,22.11
286,Jul 1999,20.53
287,Jun 1999,19.29
288,May 1999,16.84
289,Apr 1999,18.66
290,Mar 1999,16.76
291,Feb 1999,12.27
292,Jan 1999,12.75
293,Dec 1998,12.05
294,Nov 1998,11.22
295,Oct 1998,14.42
296,Sep 1998,16.14
297,Aug 1998,13.34
298,Jul 1998,14.21
299,Jun 1998,14.18
300,May 1998,15.20
301,Apr 1998,15.39
302,Mar 1998,15.61
303,Feb 1998,15.44
304,Jan 1998,17.21
305,Dec 1997,17.64
306,Nov 1997,19.15
307,Oct 1997,21.08
308,Sep 1997,21.18
309,Aug 1997,19.61
310,Jul 1997,20.14
311,Jun 1997,19.80
312,May 1997,20.88
313,Apr 1997,20.21
314,Mar 1997,20.41
315,Feb 1997,20.30
316,Jan 1997,24.15
317,Dec 1996,25.92
318,Nov 1996,23.75
319,Oct 1996,23.35
320,Sep 1996,24.38
321,Aug 1996,22.25
322,Jul 1996,20.42
323,Jun 1996,20.92
324,May 1996,19.76
325,Apr 1996,21.20
326,Mar 1996,21.47
327,Feb 1996,19.54
328,Jan 1996,17.74
329,Dec 1995,19.55
330,Nov 1995,18.18
331,Oct 1995,17.64
332,Sep 1995,17.54
333,Aug 1995,17.84
334,Jul 1995,17.56
335,Jun 1995,17.40
336,May 1995,18.89
337,Apr 1995,20.38
338,Mar 1995,19.17
339,Feb 1995,18.49
340,Jan 1995,18.39
341,Dec 1994,17.76
342,Nov 1994,18.05
343,Oct 1994,18.19
344,Sep 1994,18.39
345,Aug 1994,17.56
346,Jul 1994,20.30
347,Jun 1994,19.37
348,May 1994,18.31
349,Apr 1994,16.90
350,Mar 1994,14.79
351,Feb 1994,14.48
352,Jan 1994,15.19
353,Dec 1993,14.17
354,Nov 1993,15.43
355,Oct 1993,16.92
356,Sep 1993,18.79
357,Aug 1993,18.29
358,Jul 1993,17.88
359,Jun 1993,18.85
360,May 1993,20.02
361,Apr 1993,20.53
362,Mar 1993,20.44
363,Feb 1993,20.60
364,Jan 1993,20.26
365,Dec 1992,19.50
366,Nov 1992,19.89
367,Oct 1992,20.62
368,Sep 1992,21.71
369,Aug 1992,21.48
370,Jul 1992,21.87
371,Jun 1992,21.60
372,May 1992,22.11
373,Apr 1992,20.85
374,Mar 1992,19.44
375,Feb 1992,18.68
376,Jan 1992,18.90
377,Dec 1991,19.12
378,Nov 1991,21.48
379,Oct 1991,23.37
380,Sep 1991,22.23
381,Aug 1991,22.26
382,Jul 1991,21.68
383,Jun 1991,20.56
384,May 1991,21.13
385,Apr 1991,20.96
386,Mar 1991,19.63
387,Feb 1991,19.16
388,Jan 1991,21.54
389,Dec 1990,28.44
390,Nov 1990,28.85
391,Oct 1990,35.23
392,Sep 1990,39.51
393,Aug 1990,27.32
394,Jul 1990,20.69
395,Jun 1990,17.07
396,May 1990,17.40
397,Apr 1990,18.54
398,Mar 1990,20.28
399,Feb 1990,21.54
400,Jan 1990,22.68
401,Dec 1989,21.82
402,Nov 1989,19.89
403,Oct 1989,19.94
404,Sep 1989,20.13
405,Aug 1989,18.83
406,Jul 1989,18.31
407,Jun 1989,20.27
408,May 1989,19.90
409,Apr 1989,20.42
410,Mar 1989,20.19
411,Feb 1989,18.15
412,Jan 1989,17.03
413,Dec 1988,17.24
414,Nov 1988,15.32
415,Oct 1988,13.58
416,Sep 1988,13.37
417,Aug 1988,15.18
418,Jul 1988,16.31
419,Jun 1988,15.16
420,May 1988,17.51
421,Apr 1988,17.99
422,Mar 1988,17.08
423,Feb 1988,16.01
424,Jan 1988,16.94
425,Dec 1987,16.70
426,Nov 1987,18.51
427,Oct 1987,19.96
428,Sep 1987,19.59
429,Aug 1987,19.73
