,Date,Price
0,"Jan 30, 2020",52.14
1,"Jan 29, 2020",53.33
2,"Jan 28, 2020",53.48
3,"Jan 27, 2020",53.14
4,"Jan 24, 2020",54.19
5,"Jan 23, 2020",55.59
6,"Jan 22, 2020",56.74
7,"Jan 21, 2020",58.34
8,"Jan 20, 2020",58.73
9,"Jan 19, 2020",59.27
10,"Jan 17, 2020",58.54
11,"Jan 16, 2020",58.52
12,"Jan 15, 2020",57.81
13,"Jan 14, 2020",58.23
14,"Jan 13, 2020",58.08
15,"Jan 10, 2020",59.04
16,"Jan 09, 2020",59.56
17,"Jan 08, 2020",59.61
18,"Jan 07, 2020",62.7
19,"Jan 06, 2020",63.27
20,"Jan 03, 2020",63.05
21,"Jan 02, 2020",61.18
22,"Jan 01, 2020",61.33
23,"Dec 31, 2019",61.06
24,"Dec 30, 2019",61.68
25,"Dec 27, 2019",61.72
26,"Dec 26, 2019",61.68
27,"Dec 25, 2019",61.19
28,"Dec 24, 2019",61.11
29,"Dec 23, 2019",60.52
30,"Dec 20, 2019",60.44
31,"Dec 19, 2019",61.22
32,"Dec 18, 2019",60.93
33,"Dec 17, 2019",60.94
34,"Dec 16, 2019",60.21
35,"Dec 13, 2019",60.07
36,"Dec 12, 2019",59.18
37,"Dec 11, 2019",58.76
38,"Dec 10, 2019",59.24
39,"Dec 09, 2019",59.02
40,"Dec 06, 2019",59.2
41,"Dec 05, 2019",58.43
42,"Dec 04, 2019",58.43
43,"Dec 03, 2019",56.1
44,"Dec 02, 2019",55.96
45,"Nov 29, 2019",55.17
46,"Nov 28, 2019",58.08
47,"Nov 27, 2019",58.11
48,"Nov 26, 2019",58.41
49,"Nov 25, 2019",58.01
50,"Nov 22, 2019",57.77
51,"Nov 21, 2019",58.58
52,"Nov 20, 2019",57.11
53,"Nov 19, 2019",55.21
54,"Nov 18, 2019",57.05
55,"Nov 15, 2019",57.72
56,"Nov 14, 2019",56.77
57,"Nov 13, 2019",57.12
58,"Nov 12, 2019",56.8
59,"Nov 11, 2019",56.86
60,"Nov 08, 2019",57.24
61,"Nov 07, 2019",57.15
62,"Nov 06, 2019",56.35
63,"Nov 05, 2019",57.23
64,"Nov 04, 2019",56.54
65,"Nov 01, 2019",56.2
66,"Oct 31, 2019",54.18
67,"Oct 30, 2019",55.06
68,"Oct 29, 2019",55.54
69,"Oct 28, 2019",55.81
70,"Oct 25, 2019",56.66
71,"Oct 24, 2019",56.23
72,"Oct 23, 2019",55.97
73,"Oct 22, 2019",54.16
74,"Oct 21, 2019",53.31
75,"Oct 18, 2019",53.78
76,"Oct 17, 2019",53.93
77,"Oct 16, 2019",53.36
78,"Oct 15, 2019",52.81
79,"Oct 14, 2019",53.59
80,"Oct 11, 2019",54.7
81,"Oct 10, 2019",53.55
82,"Oct 09, 2019",52.59
83,"Oct 08, 2019",52.63
84,"Oct 07, 2019",52.75
85,"Oct 04, 2019",52.81
86,"Oct 03, 2019",52.45
87,"Oct 02, 2019",52.64
88,"Oct 01, 2019",53.62
89,"Sep 30, 2019",54.07
90,"Sep 27, 2019",55.91
91,"Sep 26, 2019",56.41
92,"Sep 25, 2019",56.49
93,"Sep 24, 2019",57.29
94,"Sep 23, 2019",58.64
95,"Sep 20, 2019",58.09
96,"Sep 19, 2019",58.13
97,"Sep 18, 2019",58.11
98,"Sep 17, 2019",59.34
99,"Sep 16, 2019",62.9
100,"Sep 13, 2019",54.85
101,"Sep 12, 2019",55.09
102,"Sep 11, 2019",55.75
103,"Sep 10, 2019",57.4
104,"Sep 09, 2019",57.85
105,"Sep 06, 2019",56.52
106,"Sep 05, 2019",56.3
107,"Sep 04, 2019",56.26
108,"Sep 03, 2019",53.94
109,"Sep 02, 2019",54.66
110,"Sep 01, 2019",54.8
111,"Aug 30, 2019",55.1
112,"Aug 29, 2019",56.71
113,"Aug 28, 2019",55.78
114,"Aug 27, 2019",54.93
115,"Aug 26, 2019",53.64
