Date,Price
"May 08, 2023",73.16
"May 05, 2023",71.34
"May 04, 2023",68.56
"May 03, 2023",68.6
"May 02, 2023",71.66
"May 01, 2023",75.66
"Apr 27, 2023",74.76
"Apr 26, 2023",74.3
"Apr 25, 2023",77.07
"Apr 24, 2023",78.76
"Apr 21, 2023",77.87
"Apr 20, 2023",77.29
"Apr 19, 2023",79.16
"Apr 18, 2023",80.86
"Apr 17, 2023",80.83
"Apr 14, 2023",82.52
"Apr 13, 2023",82.16
"Apr 12, 2023",83.26
"Apr 11, 2023",81.53
"Apr 10, 2023",79.74
"Apr 06, 2023",80.7
"Apr 05, 2023",80.61
"Apr 04, 2023",80.71
"Apr 03, 2023",80.42
"Mar 31, 2023",75.67
"Mar 30, 2023",74.37
"Mar 29, 2023",72.97
"Mar 28, 2023",73.2
"Mar 27, 2023",72.81
"Mar 24, 2023",69.26
"Mar 23, 2023",69.96
"Mar 22, 2023",70.9
"Mar 21, 2023",69.33
"Mar 20, 2023",67.64
"Mar 17, 2023",66.74
"Mar 16, 2023",68.35
"Mar 15, 2023",67.61
"Mar 14, 2023",71.33
"Mar 13, 2023",74.8
"Mar 10, 2023",76.68
"Mar 09, 2023",75.72
"Mar 08, 2023",76.66
"Mar 07, 2023",77.58
"Mar 06, 2023",80.46
"Mar 03, 2023",79.68
"Mar 02, 2023",78.16
"Mar 01, 2023",77.69
"Feb 28, 2023",77.05
"Feb 27, 2023",75.68
"Feb 24, 2023",76.32
"Feb 23, 2023",75.39
"Feb 22, 2023",73.95
"Feb 21, 2023",76.16
"Feb 20, 2023",77.3
"Feb 19, 2023",76.67
"Feb 17, 2023",76.34
"Feb 16, 2023",78.49
"Feb 15, 2023",78.59
"Feb 14, 2023",79.06
"Feb 13, 2023",80.14
"Feb 10, 2023",79.72
"Feb 09, 2023",78.06
"Feb 08, 2023",78.47
"Feb 07, 2023",77.14
"Feb 06, 2023",74.11
"Feb 03, 2023",73.39
"Feb 02, 2023",75.88
"Feb 01, 2023",76.41
"Jan 31, 2023",78.87
"Jan 30, 2023",77.9
"Jan 27, 2023",79.68
"Jan 26, 2023",81.01
"Jan 25, 2023",80.15
"Jan 24, 2023",80.13
"Jan 23, 2023",81.62
"Jan 20, 2023",81.64
"Jan 19, 2023",80.61
"Jan 18, 2023",79.8
"Jan 17, 2023",80.45
"Jan 16, 2023",79.04
"Jan 15, 2023",79.78
"Jan 13, 2023",80.11
"Jan 12, 2023",78.65
"Jan 11, 2023",77.68
"Jan 10, 2023",75.37
"Jan 09, 2023",74.92
"Jan 06, 2023",74.04
"Jan 05, 2023",73.92
"Jan 04, 2023",73.1
"Jan 03, 2023",77.12
"Jan 02, 2023",80.47
"Dec 30, 2022",80.47
"Dec 29, 2022",78.61
"Dec 28, 2022",78.6
"Dec 27, 2022",79.77
"Dec 26, 2022",80.97
"Dec 23, 2022",79.34
"Dec 22, 2022",78.45
"Dec 21, 2022",78.24
"Dec 20, 2022",76.23
"Dec 19, 2022",75.89
"Dec 16, 2022",74.45
"Dec 15, 2022",76.25
"Dec 14, 2022",77.27
"Dec 13, 2022",75.19
"Dec 12, 2022",73.44
"Dec 11, 2022",71.9
"Dec 09, 2022",71.5
"Dec 08, 2022",72.06
"Dec 07, 2022",72.58
"Dec 06, 2022",74.47
"Dec 05, 2022",77.4
"Dec 04, 2022",81.15
"Dec 02, 2022",80.3
"Dec 01, 2022",81.33
"Nov 30, 2022",80.56
"Nov 29, 2022",78.2
"Nov 28, 2022",77.24
"Nov 25, 2022",76.28
"Nov 24, 2022",77.95
"Nov 23, 2022",77.94
"Nov 22, 2022",80.95
"Nov 21, 2022",79.73
"Nov 18, 2022",80.08
"Nov 17, 2022",81.64
"Nov 16, 2022",85.59
"Nov 15, 2022",86.92
"Nov 14, 2022",85.87
"Nov 11, 2022",88.96
"Nov 10, 2022",86.47
"Nov 09, 2022",85.83
"Nov 08, 2022",88.91
"Nov 07, 2022",91.79
"Nov 04, 2022",92.61
"Nov 03, 2022",88.17
"Nov 02, 2022",90
"Nov 01, 2022",88.37
"Oct 31, 2022",86.53
"Oct 28, 2022",87.9
"Oct 27, 2022",89.08
"Oct 26, 2022",87.91
"Oct 25, 2022",85.32
"Oct 24, 2022",84.58
"Oct 21, 2022",85.05
"Oct 20, 2022",85.98
"Oct 19, 2022",85.55
"Oct 18, 2022",82.82
"Oct 17, 2022",85.46
"Oct 14, 2022",85.61
"Oct 13, 2022",89.11
"Oct 12, 2022",87.27
"Oct 11, 2022",89.35
"Oct 10, 2022",91.13
"Oct 07, 2022",92.64
"Oct 06, 2022",88.45
"Oct 05, 2022",87.76
"Oct 04, 2022",86.52
"Oct 03, 2022",83.63
"Sep 30, 2022",79.49
"Sep 29, 2022",81.23
"Sep 28, 2022",82.15
"Sep 27, 2022",78.5
"Sep 26, 2022",76.71
"Sep 23, 2022",78.74
"Sep 22, 2022",83.49
"Sep 21, 2022",82.94
"Sep 20, 2022",84.45
"Sep 19, 2022",85.73
"Sep 16, 2022",85.11
"Sep 15, 2022",85.1
"Sep 14, 2022",88.48
"Sep 13, 2022",87.31
"Sep 12, 2022",87.78
"Sep 09, 2022",86.79
"Sep 08, 2022",83.54
"Sep 07, 2022",81.94
"Sep 06, 2022",86.88
"Sep 05, 2022",88.96
"Sep 04, 2022",88.25
"Sep 02, 2022",86.87
"Sep 01, 2022",86.61
"Aug 31, 2022",89.55
"Aug 30, 2022",91.64
"Aug 29, 2022",97.01
"Aug 26, 2022",93.06
